benchmark	eff-jit	eff-plain-ocaml
countdown	nan	7.8607321921
parsing_dollars	0.2060015573057143	16.91070798162
fibonacci_recursive	5.5249482925999995	nan
nqueens	1.10842452264	nan
to_outermost_handler	nan	nan
tree_explore	0.5123685567	1.243410315
resume_nontail	0.24524999501	1.5383466757600002
unused_handlers	nan	7.93670594174
handler_sieve	2.93530339674	nan
iterator	0.024713347003809522	3.0293781058800002
generator	4.009137194920001	2.35834265352
product_early	0.5404212818	5.4631960358
counter	nan	nan
triples	0.93040155254	0.5503445983400002
growing_cont	nan	nan
multiple_handlers	0.5797613645000002	10.040371368400002
