benchmark	eff-jit	eff-plain-ocaml	effekt-jit	effekt-js	effekt-llvm	effekt-ml	helium-rpyeffect	koka-c	koka-js	koka-vm
generator	5.739290408689639	3.323943352753085	1.4527407105474006	23.002943829313324	nan	nan	2.5819077924444067	nan	18.895338222781735	1.0
triples	21.789939075168714	12.997977452614478	2.742170592151773	50.16734890924411	nan	1.0	4.619092228949116	293.6786619306359	53.67746234341465	11.168393804466731
product_early	1.490456009372489	15.175323379370438	1.0	28.221168401948493	16.826381920841108	1.0183154384216326	1.0614811360495657	28.133959295372208	6.961954314949115	1.0504617917930723
tree_explore	2.833284416864991	6.6133677225693175	1.715712191749139	nan	nan	1.0	nan	4.349542698383347	3.0556096207502064	2.6297989942760966
fibonacci_recursive	5.1029591534488326	nan	5.016294453402867	nan	1.0	1.946298544646123	12.816226329923941	1.2040450021983249	3.231913667278066	3.055327814809938
parsing_dollars	1.6167932494567427	131.13745771288535	3.245553962297401	nan	34.3463430122781	1.0	nan	27.52356158143066	48.30415254611285	4.5357466066153975
nqueens	10.178618466306288	nan	5.066689844833244	69.81493551334776	nan	1.0	nan	74.17380450550475	18.68870034047592	6.022498823097066
handler_sieve	1.3074391632853315	nan	1.0	nan	nan	nan	nan	1.6600507859917961	nan	1.6957206249867298
unused_handlers	nan	19.13618632849281	1.0	nan	19.204301355084862	nan	nan	7.815510024251542	2.18089171790227	1.364848926317934
multiple_handlers	1.101802064947839	19.27810547895581	1.0	nan	4.529421565513853	1.2216876277438355	nan	23.393422291118068	13.527545956535006	1.914771842732332
growing_cont	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
iterator	1.2820322894228677	151.87053696413247	1.0	344.82798190714817	31.770477897231768	9.55630104732419	nan	17.328972882017265	20.462858277813943	12.585630452131351
to_outermost_handler	nan	nan	1.0	nan	107.46506730118202	nan	nan	55.817376047437364	18.73000241567864	8.177788330388992
countdown	nan	117.50137750702127	6.161225556746358	nan	86.92626390476995	1.0	nan	48.301030735361536	13.02593178117126	10.846981370887297
resume_nontail	2.208288406970801	13.69507471439937	1.027787419750375	nan	2.248449290025934	1.0	2.8164513580740382	81.1219767463496	nan	3.1639916993046553
counter	nan	nan	nan	nan	nan	nan	nan	5.562234930371495	1.6014599593187542	1.0
