benchmark	eff-jit	eff-plain-ocaml	oldeff-plain-ocaml
parsing_dollars	1.0	82.46508235913325	4.559784035143482
product_early	1.0	10.260890583561888	1.843236941298106
handler_sieve	1.0	10.345936360843504	3.4087582875042757
to_outermost_handler	nan	nan	nan
counter	nan	nan	nan
unused_handlers	3.098551506375994	1.0	nan
countdown	194.40314591872996	61.96157785539561	1.0
fibonacci_recursive	3.8458847760963684	28.024239075865687	1.0
resume_nontail	1.099182251755687	6.87328866766122	1.0
triples	6.653806457268549	3.9529552442562053	1.0
growing_cont	nan	nan	nan
iterator	1.0	123.12795287735266	39.98306010807445
nqueens	4.07738631114056	nan	1.0
multiple_handlers	1.0	17.358726431841664	nan
tree_explore	2.4763072581083843	6.009745113047516	1.0
generator	2.0534861225284287	1.23613010616056	1.0
