benchmark	eff-jit	effekt-jit	koka-vm
iterator	1.2840792857354832	1.0	13.06327920602946
counter	nan	nan	1.0
tree_explore	1.5824373496147737	1.0	1.704053786901328
generator	7.018884153878197	1.0406146478754013	1.0
to_outermost_handler	nan	1.0	15.82352116725838
triples	8.02099413722959	1.0	4.078020079579338
nqueens	1.9861043417269257	1.0	1.154563965969639
fibonacci_recursive	1.6671924553325888	1.6440776593175703	1.0
handler_sieve	1.3156603724706593	1.0	1.6978414576670402
parsing_dollars	1.0	2.020610282407079	5.541832040112398
product_early	1.4931700736064124	1.0	1.0553986603327854
growing_cont	nan	nan	nan
countdown	60.44077563658174	1.0	1.7445684329194648
resume_nontail	2.16070597485398	1.0	3.116981014837475
multiple_handlers	1.101852646546271	1.0	2.7483277282889698
unused_handlers	60.26037868598454	1.0	1.7384827003305758
