benchmark	effekt-jit	effekt-js	effekt-llvm	effekt-ml
to_outermost_handler	1.0	nan	107.94077378244887	nan
unused_handlers	1.0	nan	19.22472120115646	nan
countdown	6.266108153606482	958.6736083842728	88.56163067628323	1.0
multiple_handlers	1.0	52.739991171439605	4.522589176228463	1.2223586948602467
product_early	1.0	28.6019036351709	16.03532209280112	1.027356160371939
iterator	1.0	347.26616802103956	35.38168565723888	9.89372180995861
triples	2.744872977538774	51.09505515953484	nan	1.0
tree_explore	1.7267682027985376	nan	318.20596605435446	1.0
resume_nontail	1.014935331307566	nan	2.2077030548288814	1.0
growing_cont	nan	nan	nan	nan
generator	1.0	27.3808235492016	nan	nan
parsing_dollars	3.2402248942460847	255.12854073908366	34.30037885937084	1.0
nqueens	5.183105586441432	68.67019033365328	nan	1.0
handler_sieve	1.0	nan	10.573933274643148	nan
fibonacci_recursive	5.029245077019743	nan	1.0	1.9468566180031426
counter	nan	nan	nan	nan
