benchmark	koka-c	koka-js	koka-vm
tree_explore	1.4958910408551007	1.0059282433318837	1.0
counter	3.4415928932145095	1.0	1.0680586374347947
countdown	4.49022968499303	1.2448202947249976	1.0
handler_sieve	1.0	nan	1.0052110114066515
parsing_dollars	3.072806814218984	5.865532630416556	1.0
triples	26.607190257597065	5.465421744796643	1.0
growing_cont	nan	nan	nan
multiple_handlers	8.5268407508572	4.924710567476276	1.0
generator	89.65692723022417	22.675289912048257	1.0
product_early	26.80134435626697	6.50938118228662	1.0
unused_handlers	4.487622533548269	1.3590389083951706	1.0
resume_nontail	25.883099918511913	nan	1.0
fibonacci_recursive	1.0	2.7188418431806456	2.540161348708926
to_outermost_handler	3.5223901821964003	1.2111292548024102	1.0
iterator	1.3654928270885989	1.6230306331576856	1.0
nqueens	12.418665665032737	3.078046476550535	1.0
