benchmark	koka-c	koka-js	koka-vm	koka-vm-2-context	koka-vm-no-addcej	koka-vm-no-context	koka-vm-no-specialization
handler_sieve	1.0073056868566814	nan	1.007606819188945	1.0032141036550026	1.0	1.057205582406588	2.1111460336053627
parsing_dollars	3.0571899302817025	5.789972965397388	1.0	1.0027288166149377	1.0075356108421194	5.069403036972732	1.003823811324735
nqueens	15.376877972065433	3.7676973749078932	1.2470473728250535	1.244037167508796	1.0	1.510087668752317	1.3276381375456976
unused_handlers	4.502234852542084	1.2755826282558504	1.0	1.0101844557629438	1.0221366778442351	3.3929880256576324	1.0123081567604317
counter	3.4548264014094743	1.0	1.0623602652671038	1.0615151894558743	1.0578489554994452	2.660091448632755	1.0473302739640324
fibonacci_recursive	1.0	2.7107657104548917	2.540692352792151	2.568551130008828	3.2280694963359324	3.4327206910448034	3.083041727195108
multiple_handlers	8.805018366933254	5.115261753111782	1.033971554843487	1.0338105899837133	1.0338204416244738	1.0	1.1957170000332678
triples	28.67685350315422	5.89830343994259	1.0754146796328818	1.0803349348210154	1.0	1.5618168204671168	1.2890795539793154
iterator	1.369336587358251	1.625583773574593	1.004671894932204	1.0109144821823919	1.0	1.050484279479708	1.0027940782058986
tree_explore	2.062786739459011	1.38549050411617	1.3750464074548543	1.3759502285921044	1.0	1.3260160396852712	1.284289251534464
to_outermost_handler	3.8083753648161034	1.3082000251783796	1.0898398084583005	1.0897052624375503	1.0389900929075266	2.6277720223219765	1.0
resume_nontail	26.076511199007335	nan	1.0083032120308426	1.0078360838076046	1.0	2.4456484585914096	1.9784905207631884
product_early	27.070850352412602	6.450032719295412	1.0196991320974607	1.0077495729630395	1.0	1.0237283854370958	1.3862419876689862
growing_cont	nan	nan	nan	nan	nan	nan	nan
countdown	4.544511581602203	1.2225882930217298	1.0197039310619616	1.0056442366800205	1.0	3.3767081253310494	1.0064750691127178
generator	nan	23.57642898711122	1.0705827009860474	1.0681948852360135	1.0	1.7013860448978495	1.0951468281565893
