benchmark	effekt-jit	effekt-jit-2-context	effekt-jit-no-addcej	effekt-jit-no-context	effekt-jit-no-labelbydefsite	effekt-jit-no-opt	effekt-jit-no-specialization
tree_explore	1.0	1.287902005925417	1.0018349904022	1.2313055309879921	1.0866752531922228	1.6120878824139775	1.4500282758420497
countdown	1.0126003257752563	1.0007020605876928	1.0128145800748931	1.0091041282191742	1.000347422186559	1.0082405949755568	1.0
multiple_handlers	1.9239999139148916	1.0	1.9256496226769995	4.256695074020502	1.405997145190197	5.10486048454937	1.591142086954011
nqueens	1.3504647662472902	1.0	1.3506797560632886	1.402294163867072	1.3475719808109499	1.8084519652603228	1.7855570975090598
handler_sieve	1.037083152341065	1.0548312004294855	1.0354076285629816	1.0046084353285376	1.0	1.7927617825958846	1.8433718021627106
iterator	1.0	1.219912023336405	1.0002791577068582	27.90926805053821	1.2169720695794788	32.34557625827048	1.212585502349351
triples	1.0	1.2772428612339757	1.0003343772108018	1.4247776620095254	1.0309558029330053	1.5866428133348538	1.2147553059184393
parsing_dollars	4.558563531266592	1.005496697205154	4.519981069581772	35.79115534414238	1.0	41.48012861323257	1.0012197940744287
generator	1.009478063057572	1.1182301547835922	1.0114492829739086	1.0	1.017423111143198	1.3007963166934158	1.329227160101294
product_early	1.0014587230613388	1.0139586229020485	1.0	1.0188231102934555	1.0156269926397778	1.376059166071738	1.4023450739435643
fibonacci_recursive	1.0000961796495806	1.275448195289179	1.0	1.20303539249868	1.1596976748375973	1.4774924879651476	1.5276776772277034
counter	nan	nan	nan	nan	nan	nan	nan
to_outermost_handler	1.0002306168471171	1.0061923839419946	1.0	1.0061908901811853	1.8262983939362352	1.7768790443062958	1.006005899821571
startup	1.0009612458763566	1.7253826479608427	1.0	1.7230422444280176	1.7237531965766508	1.7178031057638117	1.7161215311385283
unused_handlers	1.013128141564652	1.0	1.0138954154853124	1.0109209034547373	1.68157634081853	1.7522717920794169	1.0001267705933319
resume_nontail	1.0	1.065442710254899	1.0001507777741467	1.721250458750128	1.0577096537177813	2.1393908246851128	1.228049888652242
