benchmark	eff-jit	effekt-jit	js-v8	koka-vm	ocaml5	python-cpython	python-pypy
countdown	1.0	2.2298374011953292	34.41937387290044	1.2207506948650266	51.518817979451775	333.9877178858956	37.53014222558688
multiple_handlers	1.212238876233367	1.0220521546268408	8.0561419410605	1.0	nan	11.406078200381417	1.0905582544771726
handler_sieve	1.149539128643119	1.0	nan	1.0263146423048677	3.9190257826945727	nan	nan
iterator	3.085093680026123	1.0	38.16082264069248	9.685909476894137	55.77106948486902	95.50149363402281	10.096493586625973
parsing_dollars	1.0	2.391789887790919	35.21732569276396	3.4488193691759506	36.77485222649868	258.25502749386203	8.445583089583575
generator	1.0	1.5768076695245992	68.38211197809713	1.4620805003082076	4.110128786561981	68.63981913453196	23.097833535604373
product_early	3.812803562775713	2.3944982398131103	62.55370768803235	4.15973949252718	1.0	nan	41.53408796924576
fibonacci_recursive	4.3221423671971895	3.703101131994174	1.697837216985901	2.2741252095958626	1.0	21.24159740109889	4.652208445728841
startup	1.443838020924133	1.4843080267443916	9.236838408185431	44.402999340984685	1.0	4.094316556870655	16.641924137569283
resume_nontail	1.1252138424865155	1.0	nan	2.6433665522967766	4.475344603100242	nan	nan
