benchmark	eff-jit	effekt-jit	js-spider	js-v8	koka-vm	ocaml5	python-cpython	python-pypy
fibonacci_recursive	2.228751352142355	1.976940476465602	nan	nan	1.0	nan	nan	nan
triples	1.5822175999117671	1.0	nan	nan	4.111386185717306	nan	nan	nan
iterator	3.049286034251594	1.0	nan	nan	9.52527982784369	nan	nan	nan
parsing_dollars	1.0	1.985032231200014	nan	nan	2.848984336755752	nan	nan	nan
tree_explore	1.626874078544289	1.0	nan	nan	1.8338311084133676	nan	nan	nan
handler_sieve	1.1849064483766623	1.0	nan	nan	1.0544254746914932	nan	nan	nan
nqueens	1.0	1.7243150340960145	nan	nan	1.1164709893735016	nan	nan	nan
product_early	1.6227844738192136	1.0	nan	nan	1.6812749261619193	nan	nan	nan
resume_nontail	1.1267638225230607	1.0	nan	nan	2.6263473060870974	nan	nan	nan
generator	1.0	1.6135627253339788	nan	nan	1.5538383125806272	nan	nan	nan
countdown	nan	nan	nan	nan	1.0	nan	nan	nan
